tanev,evf,hu,path
2009,07,Megyei forduló,0910_7_1f.pdf
2009,07,Megyei forduló megoldás,0910_7_1m.pdf
2010,07,Megyei forduló,1011_7_1f.pdf
2010,07,Megyei forduló megoldás,1011_7_1m.pdf
2011,07,Megyei forduló,1112_7_1f.pdf
2011,07,Megyei forduló megoldás,1112_7_1m.pdf
2012,07,Megyei forduló,1213_7_1f.pdf
2012,07,Megyei forduló megoldás,1213_7_1m.pdf
2013,07,Megyei forduló,1314_7_1f.pdf
2013,07,Megyei forduló megoldás,1314_7_1m.pdf
2014,07,Megyei forduló,1415_7_1f.pdf
2014,07,Megyei forduló megoldás,1415_7_1m.pdf
2015,03,Megyei forduló,1516_3_1f.pdf
2015,03,Megyei forduló megoldás,1516_3_1m.pdf
2015,04,Megyei forduló,1516_4_1f.pdf
2015,04,Megyei forduló megoldás,1516_4_1m.pdf
2015,05,Megyei forduló,1516_5_1f.pdf
2015,05,Megyei forduló megoldás,1516_5_1m.pdf
2015,06,Megyei forduló,1516_6_1f.pdf
2015,06,Megyei forduló megoldás,1516_6_1m.pdf
2015,07,Megyei forduló,1516_7_1f.pdf
2015,07,Megyei forduló megoldás,1516_7_1m.pdf
2015,08,Megyei forduló,1516_8_1f.pdf
2015,08,Megyei forduló megoldás,1516_8_1m.pdf
