tanev,evf,hu,path
2005,összes,"1. kategória, 1. forduló",0506/oktv0506_1kat_1ford_fsor.pdf
2005,összes,"1. kategória, 1. forduló megoldás",0506/oktv0506_1kat_1ford_javut.pdf
2005,összes,"1. kategória, 2. forduló",0506/oktv0506_1kat_2ford_fsor.pdf
2005,összes,"1. kategória, 2. forduló megoldás",0506/oktv0506_1kat_2ford_javut.pdf
2005,összes,"1. kategória, döntő",0506/oktv0506_1kat_donto_fsor.pdf
2005,összes,"1. kategória, döntő megoldás",0506/oktv0506_1kat_donto_javut.pdf
2005,összes,"2. kategória, 1. forduló",0506/oktv0506_2kat_1ford_fsor.pdf
2005,összes,"2. kategória, 1. forduló megoldás",0506/oktv0506_2kat_1ford_javut.pdf
2005,összes,"2. kategória, 2. forduló",0506/oktv0506_2kat_2ford_fsor.pdf
2005,összes,"2. kategória, 2. forduló megoldás",0506/oktv0506_2kat_2ford_javut.pdf
2005,összes,"2. kategória, döntő",0506/oktv0506_2kat_donto_fsor.pdf
2005,összes,"2. kategória, döntő megoldás",0506/oktv0506_2kat_donto_javut.pdf
2005,összes,"3. kategória, 1. forduló",0506/oktv0506_3kat_1ford_fsor.pdf
2005,összes,"3. kategória, 1. forduló megoldás",0506/oktv0506_3kat_1ford_javut.pdf
2005,összes,"3. kategória, döntő",0506/oktv0506_3kat_donto_fsor.pdf
2005,összes,"3. kategória, döntő megoldás",0506/oktv0506_3kat_donto_javut.pdf
2007,összes,"1. kategória, 1. forduló",0607/oktv0607_1kat_1ford_fsor.pdf
2007,összes,"1. kategória, 1. forduló megoldás",0607/oktv0607_1kat_1ford_javut.pdf
2007,összes,"1. kategória, 2. forduló",0607/oktv0607_1kat_2ford_fsor.pdf
2007,összes,"1. kategória, 2. forduló megoldás",0607/oktv0607_1kat_2ford_javut.pdf
2007,összes,"1. kategória, döntő",0607/oktv0607_1kat_donto_fsor.pdf
2007,összes,"1. kategória, döntő megoldás",0607/oktv0607_1kat_donto_javut.pdf
2007,összes,"2. kategória, 1. forduló",0607/oktv0607_2kat_1ford_fsor.pdf
2007,összes,"2. kategória, 1. forduló megoldás",0607/oktv0607_2kat_1ford_javut.pdf
2007,összes,"2. kategória, 2. forduló",0607/oktv0607_2kat_2ford_fsor.pdf
2007,összes,"2. kategória, 2. forduló megoldás",0607/oktv0607_2kat_2ford_javut.pdf
2007,összes,"2. kategória, döntő",0607/oktv0607_2kat_donto_fsor.pdf
2007,összes,"2. kategória, döntő megoldás",0607/oktv0607_2kat_donto_javut.pdf
2007,összes,"3. kategória, 1. forduló",0607/oktv0607_3kat_1ford_fsor.pdf
2007,összes,"3. kategória, 1. forduló megoldás",0607/oktv0607_3kat_1ford_javut.pdf
2007,összes,"3. kategória, döntő",0607/oktv0607_3kat_donto_fsor.pdf
2007,összes,"3. kategória, döntő megoldás",0607/oktv0607_3kat_donto_javut.pdf
2008,összes,"1. kategória, 1. forduló",0708/oktv0708_1kat_1ford_fsor.pdf
2008,összes,"1. kategória, 1. forduló megoldás",0708/oktv0708_1kat_1ford_javut.pdf
2008,összes,"1. kategória, 2. forduló",0708/oktv0708_1kat_2ford_fsor.pdf
2008,összes,"1. kategória, 2. forduló megoldás",0708/oktv0708_1kat_2ford_javut.pdf
2008,összes,"1. kategória, döntő",0708/oktv0708_1kat_donto_fsor.pdf
2008,összes,"1. kategória, döntő megoldás",0708/oktv0708_1kat_donto_javut.pdf
2008,összes,"2. kategória, 1. forduló",0708/oktv0708_2kat_1ford_fsor.pdf
2008,összes,"2. kategória, 1. forduló megoldás",0708/oktv0708_2kat_1ford_javut.pdf
2008,összes,"2. kategória, 2. forduló",0708/oktv0708_2kat_2ford_fsor.pdf
2008,összes,"2. kategória, 2. forduló megoldás",0708/oktv0708_2kat_2ford_javut.pdf
2008,összes,"2. kategória, döntő",0708/oktv0708_2kat_donto_fsor.pdf
2008,összes,"2. kategória, döntő megoldás",0708/oktv0708_2kat_donto_javut.pdf
2008,összes,"3. kategória, 1. forduló",0708/oktv0708_3kat_1ford_fsor.pdf
2008,összes,"3. kategória, 1. forduló megoldás",0708/oktv0708_3kat_1ford_javut.pdf
2008,összes,"3. kategória, döntő",0708/oktv0708_3kat_donto_fsor.pdf
2008,összes,"3. kategória, döntő megoldás",0708/oktv0708_3kat_donto_javut.pdf
2009,összes,"1. kategória, 1. forduló",0809/oktv0809_1kat_1ford_fsor.pdf
2009,összes,"1. kategória, 1. forduló megoldás",0809/oktv0809_1kat_1ford_javut.pdf
2009,összes,"1. kategória, 2. forduló",0809/oktv0809_1kat_2ford_fsor.pdf
2009,összes,"1. kategória, 2. forduló megoldás",0809/oktv0809_1kat_2ford_javut.pdf
2009,összes,"1. kategória, döntő",0809/oktv0809_1kat_donto_fsor.pdf
2009,összes,"1. kategória, döntő megoldás",0809/oktv0809_1kat_donto_javut.pdf
2009,összes,"2. kategória, 1. forduló",0809/oktv0809_2kat_1ford_fsor.pdf
2009,összes,"2. kategória, 1. forduló megoldás",0809/oktv0809_2kat_1ford_javut.pdf
2009,összes,"2. kategória, 2. forduló",0809/oktv0809_2kat_2ford_fsor.pdf
2009,összes,"2. kategória, 2. forduló megoldás",0809/oktv0809_2kat_2ford_javut.pdf
2009,összes,"2. kategória, döntő",0809/oktv0809_2kat_donto_fsor.pdf
2009,összes,"2. kategória, döntő megoldás",0809/oktv0809_2kat_donto_javut.pdf
2009,összes,"3. kategória, 1. forduló",0809/oktv0809_3kat_1ford_fsor.pdf
2009,összes,"3. kategória, 1. forduló megoldás",0809/oktv0809_3kat_1ford_javut.pdf
2009,összes,"3. kategória, döntő",0809/oktv0809_3kat_donto_fsor.pdf
2009,összes,"3. kategória, döntő megoldás",0809/oktv0809_3kat_donto_javut.pdf
2010,összes,"1. kategória, 1. forduló",1011/oktv1011_1kat_1ford_fsor.pdf
2010,összes,"1. kategória, 1. forduló megoldás",1011/oktv1011_1kat_1ford_javut.pdf
2010,összes,"1. kategória, 2. forduló",1011/oktv1011_1kat_2ford_fsor.pdf
2010,összes,"1. kategória, 2. forduló megoldás",1011/oktv1011_1kat_2ford_javut.pdf
2010,összes,"1. kategória, döntő",1011/oktv1011_1kat_donto_fsor.pdf
2010,összes,"1. kategória, döntő megoldás",1011/oktv1011_1kat_donto_javut.pdf
2010,összes,"2. kategória, 1. forduló",1011/oktv1011_2kat_1ford_fsor.pdf
2010,összes,"2. kategória, 1. forduló megoldás",1011/oktv1011_2kat_1ford_javut.pdf
2010,összes,"2. kategória, 2. forduló",1011/oktv1011_2kat_2ford_fsor.pdf
2010,összes,"2. kategória, 2. forduló megoldás",1011/oktv1011_2kat_2ford_javut.pdf
2010,összes,"2. kategória, döntő",1011/oktv1011_2kat_donto_fsor.pdf
2010,összes,"2. kategória, döntő megoldás",1011/oktv1011_2kat_donto_javut.pdf
2010,összes,"3. kategória, 1. forduló",1011/oktv1011_3kat_1ford_fsor.pdf
2010,összes,"3. kategória, 1. forduló megoldás",1011/oktv1011_3kat_1ford_javut.pdf
2010,összes,"3. kategória, döntő",1011/oktv1011_3kat_donto_fsor.pdf
2010,összes,"3. kategória, döntő megoldás",1011/oktv1011_3kat_donto_javut.pdf
2011,összes,"1. kategória, 1. forduló",1112/oktv1112_1kat_1ford_fsor.pdf
2011,összes,"1. kategória, 1. forduló megoldás",1112/oktv1112_1kat_1ford_javut.pdf
2011,összes,"1. kategória, 2. forduló",1112/oktv1112_1kat_2ford_fsor.pdf
2011,összes,"1. kategória, 2. forduló megoldás",1112/oktv1112_1kat_2ford_javut.pdf
2011,összes,"1. kategória, döntő",1112/oktv1112_1kat_donto_fsor.pdf
2011,összes,"1. kategória, döntő megoldás",1112/oktv1112_1kat_donto_javut.pdf
2011,összes,"2. kategória, 1. forduló",1112/oktv1112_2kat_1ford_fsor.pdf
2011,összes,"2. kategória, 1. forduló megoldás",1112/oktv1112_2kat_1ford_javut.pdf
2011,összes,"2. kategória, 2. forduló",1112/oktv1112_2kat_2ford_fsor.pdf
2011,összes,"2. kategória, 2. forduló megoldás",1112/oktv1112_2kat_2ford_javut.pdf
2011,összes,"2. kategória, döntő",1112/oktv1112_2kat_donto_fsor.pdf
2011,összes,"2. kategória, döntő megoldás",1112/oktv1112_2kat_donto_javut.pdf
2011,összes,"3. kategória, 1. forduló",1112/oktv1112_3kat_1ford_fsor.pdf
2011,összes,"3. kategória, 1. forduló megoldás",1112/oktv1112_3kat_1ford_javut.pdf
2011,összes,"3. kategória, döntő",1112/oktv1112_3kat_donto_fsor.pdf
2011,összes,"3. kategória, döntő megoldás",1112/oktv1112_3kat_donto_javut.pdf
2012,összes,"1. kategória, 1. forduló",1213/oktv1213_1kat_1ford_fsor.pdf
2012,összes,"1. kategória, 1. forduló megoldás",1213/oktv1213_1kat_1ford_javut.pdf
2012,összes,"1. kategória, 2. forduló",1213/oktv1213_1kat_2ford_fsor.pdf
2012,összes,"1. kategória, 2. forduló megoldás",1213/oktv1213_1kat_2ford_javut.pdf
2012,összes,"1. kategória, döntő",1213/oktv1213_1kat_donto_fsor.pdf
2012,összes,"1. kategória, döntő megoldás",1213/oktv1213_1kat_donto_javut.pdf
2012,összes,"2. kategória, 1. forduló",1213/oktv1213_2kat_1ford_fsor.pdf
2012,összes,"2. kategória, 1. forduló megoldás",1213/oktv1213_2kat_1ford_javut.pdf
2012,összes,"2. kategória, 2. forduló",1213/oktv1213_2kat_2ford_fsor.pdf
2012,összes,"2. kategória, 2. forduló megoldás",1213/oktv1213_2kat_2ford_javut.pdf
2012,összes,"2. kategória, döntő",1213/oktv1213_2kat_donto_fsor.pdf
2012,összes,"2. kategória, döntő megoldás",1213/oktv1213_2kat_donto_javut.pdf
2012,összes,"3. kategória, 1. forduló",1213/oktv1213_3kat_1ford_fsor.pdf
2012,összes,"3. kategória, 1. forduló megoldás",1213/oktv1213_3kat_1ford_javut.pdf
2012,összes,"3. kategória, döntő",1213/oktv1213_3kat_donto_fsor.pdf
2012,összes,"3. kategória, döntő megoldás",1213/oktv1213_3kat_donto_javut.pdf
2013,összes,"1. kategória, 1. forduló",1314/oktv1314_1kat_1ford_fsor.pdf
2013,összes,"1. kategória, 1. forduló megoldás",1314/oktv1314_1kat_1ford_javut.pdf
2013,összes,"1. kategória, 2. forduló",1314/oktv1314_1kat_2ford_fsor.pdf
2013,összes,"1. kategória, 2. forduló megoldás",1314/oktv1314_1kat_2ford_javut.pdf
2013,összes,"1. kategória, döntő",1314/oktv1314_1kat_donto_fsor.pdf
2013,összes,"1. kategória, döntő megoldás",1314/oktv1314_1kat_donto_javut.pdf
2013,összes,"2. kategória, 1. forduló",1314/oktv1314_2kat_1ford_fsor.pdf
2013,összes,"2. kategória, 1. forduló megoldás",1314/oktv1314_2kat_1ford_javut.pdf
2013,összes,"2. kategória, 2. forduló",1314/oktv1314_2kat_2ford_fsor.pdf
2013,összes,"2. kategória, 2. forduló megoldás",1314/oktv1314_2kat_2ford_javut.pdf
2013,összes,"2. kategória, döntő",1314/oktv1314_2kat_donto_fsor.pdf
2013,összes,"2. kategória, döntő megoldás",1314/oktv1314_2kat_donto_javut.pdf
2013,összes,"3. kategória, 1. forduló",1314/oktv1314_3kat_1ford_fsor.pdf
2013,összes,"3. kategória, 1. forduló megoldás",1314/oktv1314_3kat_1ford_javut.pdf
2013,összes,"3. kategória, döntő",1314/oktv1314_3kat_donto_fsor.pdf
2013,összes,"3. kategória, döntő megoldás",1314/oktv1314_3kat_donto_javut.pdf
2014,összes,"1. kategória, 1. forduló",1415/oktv1415_1kat_1ford_fsor.pdf
2014,összes,"1. kategória, 1. forduló megoldás",1415/oktv1415_1kat_1ford_javut.pdf
2014,összes,"1. kategória, 2. forduló",1415/oktv1415_1kat_2ford_fsor.pdf
2014,összes,"1. kategória, 2. forduló megoldás",1415/oktv1415_1kat_2ford_javut.pdf
2014,összes,"1. kategória, döntő",1415/oktv1415_1kat_donto_fsor.pdf
2014,összes,"1. kategória, döntő megoldás",1415/oktv1415_1kat_donto_javut.pdf
2014,összes,"2. kategória, 1. forduló",1415/oktv1415_2kat_1ford_fsor.pdf
2014,összes,"2. kategória, 1. forduló megoldás",1415/oktv1415_2kat_1ford_javut.pdf
2014,összes,"2. kategória, 2. forduló",1415/oktv1415_2kat_2ford_fsor.pdf
2014,összes,"2. kategória, 2. forduló megoldás",1415/oktv1415_2kat_2ford_javut.pdf
2014,összes,"2. kategória, döntő",1415/oktv1415_2kat_donto_fsor.pdf
2014,összes,"2. kategória, döntő megoldás",1415/oktv1415_2kat_donto_javut.pdf
2014,összes,"3. kategória, 1. forduló",1415/oktv1415_3kat_1ford_fsor.pdf
2014,összes,"3. kategória, 1. forduló megoldás",1415/oktv1415_3kat_1ford_javut.pdf
2014,összes,"3. kategória, döntő",1415/oktv1415_3kat_donto_fsor.pdf
2014,összes,"3. kategória, döntő megoldás",1415/oktv1415_3kat_donto_javut.pdf
