tanev,evf,hu,path
1990,összes,Feladat,budo_1991_f.pdf
1990,összes,Megoldás,budo_1991_m.pdf
1991,összes,Feladat,budo_1992_f.pdf
1991,összes,Megoldás,budo_1992_m.pdf
1992,összes,Feladat,budo_1993_f.pdf
1992,összes,Megoldás,budo_1993_m.pdf
1993,összes,Feladat,budo_1994_f.pdf
1993,összes,Megoldás,budo_1994_m.pdf
1994,összes,Feladat,budo_1995_f.pdf
1994,összes,Megoldás,budo_1995_m.pdf
1995,összes,Feladat,budo_1996_f.pdf
1995,összes,Megoldás,budo_1996_m.pdf
1996,összes,Feladat,budo_1997_f.pdf
1996,összes,Megoldás,budo_1997_m.pdf
1997,összes,Feladat,budo_1998_f.pdf
1997,összes,Megoldás,budo_1998_m.pdf
1998,összes,Feladat,budo_1999_f.pdf
1998,összes,Megoldás,budo_1999_m.pdf
1999,összes,Feladat,budo_2000_f.pdf
1999,összes,Megoldás,budo_2000_m.pdf
2000,összes,Feladat,budo_2001_f.pdf
2000,összes,Megoldás,budo_2001_m.pdf
2001,összes,Feladat,budo_2002_f.pdf
2001,összes,Megoldás,budo_2002_m.pdf
2002,összes,Feladat,budo_2003_f.pdf
2002,összes,Megoldás,budo_2003_m.pdf
2003,összes,Feladat,budo_2004_f.pdf
2003,összes,Megoldás,budo_2004_m.pdf
2004,összes,Feladat,budo_2005_f.pdf
2004,összes,Megoldás,budo_2005_m.pdf
2005,összes,Feladat,budo_2006_f.pdf
2005,összes,Megoldás,budo_2006_m.pdf
2006,összes,Feladat,budo_2007_f.pdf
2006,összes,Megoldás,budo_2007_m.pdf
2007,összes,Feladat,budo_2008_f.pdf
2007,összes,Megoldás,budo_2008_m.pdf
2008,összes,Feladat,budo_2009_f.pdf
2008,összes,Megoldás,budo_2009_m.pdf
2009,összes,Feladat,budo_2010_f.pdf
2009,összes,Megoldás,budo_2010_m.pdf
2010,összes,Feladat,budo_2011_f.pdf
2010,összes,Megoldás,budo_2011_m.pdf
2011,összes,Feladat,budo_2012_f.pdf
2011,összes,Megoldás,budo_2012_m.pdf
2012,összes,Feladat,budo_2013_f.pdf
2012,összes,Megoldás,budo_2013_m.pdf
2013,összes,Feladat,budo_2014_f.pdf
2013,összes,Megoldás,budo_2014_m.pdf
2014,összes,Feladat,budo_2015_f.pdf
2014,összes,Megoldás,budo_2015_m.pdf
2016,összes,Feladat,budo_2016_f.pdf
2016,összes,Megoldás,budo_2016_m.pdf
