1504_HorvathD.pdf|Horváth Dezső|Higgs-bozon és a világ vége vagy kezdete
1505_HorvathD_OlahE_SukosdCs_VargaD_PatkosA.pdf|Horváth Dezső, Oláh Éva, Sükösd Csaba, Varga Dezső, Patkós András|Beszélgetés az elektron méretéről
150708_BorhidiA.pdf|Borhidi Attila|A paksi erőmű és a környezeti rendszerek között várható kölcsönhatások
150708_FabianM_1.pdf|Fábián Margit|Atomerőművi hulladékok kezelése 1.
150708_Jaeckel_Lindner_Ringwald.pdf|Joerg Jaeckel, Axel Lindner, Andreas Ringwald|Ultrakönnyű részecskék nyomában
1509_FabianM_2.pdf|Fábián Margit|Atomerőművi hulladékok kezelése 2.
1510_AszodiA.pdf|Aszódi Attila|Új blokkok a paksi telephelyen 1.
1511_AszodiA_BorosI_2.pdf|Aszódi Attila, Boros Ildikó|Új blokkok a paksi telephelyen 2.
1512_HozerZ.pdf|Hózer Zoltán|Az új paksi reaktorok üzemanyaga
1601_MakaiM.pdf|Makai Mihály|Kockázat és biztonság
1602_PazsitI.pdf|Pázsit Imre|Atomerőművek az alapkutatás szolgálatában
1606_NemethCs_1.pdf|Németh Csaba|A Sudbury neutrínó obszervatórium 1.
160708_FizSzem-20160708_06KrasznahorkayAttila.pdf|Krasznahorkay Attila|Az ötödik kölcsönhatás nyomában
1609_FizSzem-201609_02Nagy-Horvath.pdf|Nagy Attila, Horváth Ákos|Radioaktivitás a légkörből - A csernobili baleset légköri viszonyainak újraszámítása
140708_HirnA_PazmandiT_DemeS.pdf|Hirn Attila, Pázmándi Tamás, Deme Sándor|Sugárvédelem a világűrben
140708_BallaA_MarkusF.pdf|Balla Áron, Márkus Ferenc|A reaktormérgezés kiküszöbölésének lehetőségei sóolvadékos reaktorokban
1405_VidovszkyI.pdf|Vidovszky István|A budapesti kutatóreaktor fűtőelemeinek sorsa
1404_Kereszturi_A_PatakiI_TotaA.pdf|Keresztúri András, Pataki István, Tóta Ádám|Negyedik generációs reaktorok
