Áramkörök|aramkorok.pdf|Áramkörök, Ohm törvény, kapcsolások, vezetési jelenségek
Elektromágnesesség|em.pdf|Elektromos és mágneses mező kapcsolata, indukció
Transzformátor|transzformator.pdf|Transzformátor működése, összefüggések
Gázok állapotváltozásai|gaztorvenyek.pdf|Gázok állapotváltozásai, hőtágulás
Munka, energia|munka_energia_07.pdf|Munka, energia, teljesítmény, hatásfok (7. osztály)
Gázok energiaváltozásai|gaz_energia.pdf|Hőtan első főtétele, ekvipartíció tétele, speciális állapotváltozások
Rezgések, hullámok|rezges_hullam.pdf|Rezgések és hullámok összefoglaló
Felhajtóerő|felhajtoero.pdf|Rövid összefoglaló, útmutató Arkhimédesz-törvényes feladatok megoldásához
EM hullámok, optika|em_hullam.pdf|Elektromágneses hullámok és optika (fénytan) összefoglaló
Modern fizika bemutató|modern_fizika.pdf|Modern fizika bemutató, kvantumelmélet, anyaghullámok, atommodellek
Atomfizika bemutató|atomfizika.pdf|Atomfizika bemutató
Csillagászat bemutató|csillagaszat.pdf|Csillagászat bemutató
