datum,leiras,link
2016-03-22,"Kalmár László matematikaverseny feladatai",/comp/math/kalmar
2016-03-22,"pdfjam tipp",/notes/cli/pdfjam.html
2016-03-23,"Gáztörvények feladatsor frissítése",/edu/phys/exams10/
2016-03-23,"Gázok állapotváltozásai segédlet",edu/phys/guide/
2016-03-23,"Munka, energia segédlet (7. osztály)",edu/phys/guide/
2016-03-24,"Tornyai Sándor fizikaverseny, 2015-2016-os tanév",comp/phys/tornyai/
2016-03-24,"pdf jelszó eltávolítás tipp",/notes/cli/pdf_jelszo.html
2016-03-24,"Bolyai matekverseny 2015-2016",/comp/math/bolyai
2016-04-04,"Nemzetközi Magyar Matematikaverseny feladatai",/comp/math/nemzetkozi
2016-04-06,"Németh László Matematikaverseny feladatai",/comp/math/nlg
2016-04-11,"Nyolcadik évfolyamos valószínűségszámítási feladatsor",/edu/math/exams08/
2016-04-11,"Németh László Matematikaverseny, 2015-2016-os tanév, 11-12. évfolyam",/comp/math/nlg
2016-04-12,"Németh László Matematikaverseny, 2015-2016-os tanév, 09-10. évfolyam",/comp/math/nlg
2016-04-12,"Gázok energiája feladatsor",/edu/phys/exams10/
2016-04-14,"Trigonometrikus egyenletek",/edu/math/exams10/
2016-04-17,"Celebek régen...",/pict/joke/mathphys//tudos_celeb.jpg.html
2016-04-24,"Nemzetközi Magyar Matematikaverseny 5-8. évfolyam",/comp/math/nemzetkozi
2016-04-26,"Gázok energiájának változásai",/edu/phys/guide
2016-04-26,"Hőcsere (7. osztály)",/edu/phys/exams07
2016-05-05,"Imolya Sándor Matematikaverseny, 2015-2016-os tanév",/comp/math/imolya
2016-05-07,"Tudosók logói 3.",pict/joke/mathphys//scientists_logo_3.jpg.html
2016-05-14,"Trigonometria összefoglaló",/edu/math/guide/
2016-05-16,"GIT tárolók elérhetőek",http://git.uzsolt.hu
2016-05-17,"Hőcsere (10. osztály)",/edu/phys/exams10
2016-05-20,"Linuxvilág cikkek (FreeBSD)",/downloads/linuxvilag
2016-05-26,"A feh használata háttér változtatásra",/notes/cli/feh_wallpaper.html
2016-05-31,"Exsheets feladatainak véletlenszerű sorrendje",/notes/latex/randomize_exsheets.html
2016-06-02,"Méretre darabolás dump-pal",/notes/bsd/dump_volume.html
2016-06-03,"Matek-fizikás poénos képek",/pict/joke/mathphys/
2016-06-13,"Mirror kategória",/mirror
2016-06-13,"Ruby on Rails guide mirror",/static/mirror/ruby_on_rails
2016-06-28,"Budó Ágoston fizikaverseny 1990-2004",/comp/phys/budo
2016-09-01,"11. évfolyamos kombinatorika feladatsor bővítve",/edu/math/exams11/
2016-09-12,"Nyomás feladatsor (7. évfolyam)",/edu/phys/exams07
2016-09-22,"Nevezetes azonosságok (8. évfolyam) bővítve",/edu/math/exams08/
2016-09-23,"Rezgések, hullámok összefoglaló",/edu/phys/guide/
2016-10-02,"Felhajtóerő feladatsor",/edu/phys/exams07
2016-10-02,"Gráfelméleti feladatok",/edu/math/exams11
2016-10-02,"Pénzügyi dokumentumok",/edu/eco
2016-10-11,"Nevezetes azonosságok (9. évfolyam)",/edu/math/exams09
2016-10-11,"Szorzattá alakítások (9. évfolyam) frissítése",/edu/math/exams09
2016-10-12,"Algebrai törtek, egyenletek (8. évfolyam)",/edu/math/exams08
2016-10-19,"Felhajtóerő összefoglaló",/edu/phys/guide
2016-10-20,"Műveletek algebrai törtekkel feladatsor (9. évfolyam) frissült",/edu/math/exams09
2016-10-22,"Exponenciális egyenletek megoldása",/edu/math/guide
2016-11-10,"Oszthatósági és számrendszeres feladatok",/edu/math/exams09
2016-11-11,"2016-2017. tanévi Budó Ágoston Fizikaverseny",/comp/phys/budo
2016-11-13,"Logaritmus összefoglaló",/edu/math/guide
2016-11-18,"Arany Dániel feladatok, 2015-2016. tanév",/comp/math/aranyd/tanev2015.html
